product_id,name,category,catalogue_ref,pieces_config,material,price_kes_indicative,variant_label,image_lg,image_sm
exec-frame,Executive Frame Suitcase Set,suitcases,Catalogue group 01,"3-piece set (small, medium, large case)","Aluminium-frame hardshell, corner-latch closures",35000,Mint,images/lg/exec-frame-1.jpg,images/sm/exec-frame-1.jpg
exec-frame,Executive Frame Suitcase Set,suitcases,Catalogue group 01,"3-piece set (small, medium, large case)","Aluminium-frame hardshell, corner-latch closures",35000,Black,images/lg/exec-frame-2.jpg,images/sm/exec-frame-2.jpg
exec-frame,Executive Frame Suitcase Set,suitcases,Catalogue group 01,"3-piece set (small, medium, large case)","Aluminium-frame hardshell, corner-latch closures",35000,Silver,images/lg/exec-frame-3.jpg,images/sm/exec-frame-3.jpg
exec-frame,Executive Frame Suitcase Set,suitcases,Catalogue group 01,"3-piece set (small, medium, large case)","Aluminium-frame hardshell, corner-latch closures",35000,Cream,images/lg/exec-frame-4.jpg,images/sm/exec-frame-4.jpg
exec-frame,Executive Frame Suitcase Set,suitcases,Catalogue group 01,"3-piece set (small, medium, large case)","Aluminium-frame hardshell, corner-latch closures",35000,Pink,images/lg/exec-frame-5.jpg,images/sm/exec-frame-5.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Grey-Green,images/lg/rubber-set-02-1.jpg,images/sm/rubber-set-02-1.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Black,images/lg/rubber-set-02-2.jpg,images/sm/rubber-set-02-2.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Black (alt),images/lg/rubber-set-02-3.jpg,images/sm/rubber-set-02-3.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Coral,images/lg/rubber-set-02-4.jpg,images/sm/rubber-set-02-4.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Navy,images/lg/rubber-set-02-5.jpg,images/sm/rubber-set-02-5.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Grey,images/lg/rubber-set-02-6.jpg,images/sm/rubber-set-02-6.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Purple,images/lg/rubber-set-02-7.jpg,images/sm/rubber-set-02-7.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Magenta,images/lg/rubber-set-02-8.jpg,images/sm/rubber-set-02-8.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Tan/Gold,images/lg/rubber-set-02-9.jpg,images/sm/rubber-set-02-9.jpg
rubber-set-02,Hardshell 4-Piece Set — Style 02,suitcases,Catalogue group 02,4-piece set (four graduated sizes),"Textured hardshell (“rubber-finish” shell), spinner wheels",12500,Blue,images/lg/rubber-set-02-10.jpg,images/sm/rubber-set-02-10.jpg
rubber-4in1,PP 4-in-1 Suitcase Set (N01–N04),suitcases,Catalogue group 03,4-in-1 set: N01–N04 (includes a small vanity/beauty case),"PP hardshell, spinner wheels",18500,Taupe,images/lg/rubber-4in1-1.jpg,images/sm/rubber-4in1-1.jpg
rubber-4in1,PP 4-in-1 Suitcase Set (N01–N04),suitcases,Catalogue group 03,4-in-1 set: N01–N04 (includes a small vanity/beauty case),"PP hardshell, spinner wheels",18500,Coral,images/lg/rubber-4in1-2.jpg,images/sm/rubber-4in1-2.jpg
rubber-4in1,PP 4-in-1 Suitcase Set (N01–N04),suitcases,Catalogue group 03,4-in-1 set: N01–N04 (includes a small vanity/beauty case),"PP hardshell, spinner wheels",18500,Grey,images/lg/rubber-4in1-3.jpg,images/sm/rubber-4in1-3.jpg
rubber-4in1,PP 4-in-1 Suitcase Set (N01–N04),suitcases,Catalogue group 03,4-in-1 set: N01–N04 (includes a small vanity/beauty case),"PP hardshell, spinner wheels",18500,Teal,images/lg/rubber-4in1-4.jpg,images/sm/rubber-4in1-4.jpg
rubber-4in1,PP 4-in-1 Suitcase Set (N01–N04),suitcases,Catalogue group 03,4-in-1 set: N01–N04 (includes a small vanity/beauty case),"PP hardshell, spinner wheels",18500,Navy,images/lg/rubber-4in1-5.jpg,images/sm/rubber-4in1-5.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Coral,images/lg/rubber-set-04-1.jpg,images/sm/rubber-set-04-1.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Navy,images/lg/rubber-set-04-2.jpg,images/sm/rubber-set-04-2.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Black,images/lg/rubber-set-04-3.jpg,images/sm/rubber-set-04-3.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Dark Green,images/lg/rubber-set-04-4.jpg,images/sm/rubber-set-04-4.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Silver,images/lg/rubber-set-04-5.jpg,images/sm/rubber-set-04-5.jpg
